OTU.ID	taxa
6642	Bacteria
6656	Bacteria
6658	Bacteria
6660	Bacteria
6663	Bacteria
6664	Bacteria
6668	Bacteria
6672	Bacteria
6680	Bacteria
6687	Bacteria
6701	Bacteria
6702	Bacteria
6706	Bacteria
6714	Bacteria
6718	Bacteria
6724	Bacteria
6725	Bacteria
6727	Bacteria
6730	Bacteria
6733	Bacteria
6743	Bacteria
6748	Bacteria
6750	Bacteria
6751	Bacteria
6762	Bacteria
6763	Bacteria
6764	Bacteria
6786	Bacteria
6792	Bacteria
6799	Bacteria
6805	Bacteria
6815	Bacteria
6819	Bacteria
6834	Bacteria
6836	Bacteria
6839	Bacteria
6850	Bacteria
6851	Bacteria
6853	Bacteria
6863	Bacteria
6865	Bacteria
6871	Bacteria
6873	Bacteria
6876	Bacteria
6877	Bacteria
6879	Bacteria
6882	Bacteria
6888	Bacteria
6889	Bacteria
6891	Bacteria
6895	Bacteria
6917	Bacteria
6928	Bacteria
6935	Bacteria
6941	Bacteria
6943	Bacteria
6960	Bacteria
6963	Bacteria
6975	Bacteria
6983	Bacteria
6988	Bacteria
6998	Bacteria
6999	Bacteria
7002	Bacteria
7003	Bacteria
7004	Bacteria
7016	Bacteria
7028	Bacteria
7033	Bacteria
7038	Bacteria
7041	Bacteria
7044	Bacteria
7049	Bacteria
7055	Bacteria
7056	Bacteria
7059	Bacteria
7063	Bacteria
7064	Bacteria
7065	Bacteria
7067	Bacteria
7071	Bacteria
7072	Bacteria
7073	Bacteria
7084	Bacteria
7086	Bacteria
7092	Bacteria
7100	Bacteria
7102	Bacteria
7106	Bacteria
7119	Bacteria
7139	Bacteria
7140	Bacteria
7147	Bacteria
7158	Bacteria
7160	Bacteria
7176	Bacteria
7182	Bacteria
7188	Bacteria
7193	Bacteria
7195	Bacteria
7202	Bacteria
7203	Bacteria
7207	Bacteria
7214	Bacteria
7215	Bacteria
7225	Bacteria
7231	Bacteria
7235	Bacteria
7249	Bacteria
7250	Bacteria
7252	Bacteria
7256	Bacteria
7263	Bacteria
7265	Bacteria
7275	Bacteria
7279	Bacteria
7282	Bacteria
7284	Bacteria
7287	Bacteria
7288	Bacteria
7294	Bacteria
7296	Bacteria
7301	Bacteria
7304	Bacteria
7325	Bacteria
7327	Bacteria
7341	Bacteria
7345	Bacteria
7346	Bacteria
7347	Bacteria
7348	Bacteria
7351	Bacteria
7363	Bacteria
7365	Bacteria
7373	Bacteria
7380	Bacteria
7394	Bacteria
7398	Bacteria
7411	Bacteria
7413	Bacteria
7415	Bacteria
7416	Bacteria
7422	Bacteria
7432	Bacteria
7436	Bacteria
7446	Bacteria
7448	Bacteria
7455	Bacteria
7459	Bacteria
7469	Bacteria
7484	Bacteria
7501	Bacteria
7506	Bacteria
7507	Bacteria
7508	Bacteria
7509	Bacteria
7518	Bacteria
7533	Bacteria
7535	Bacteria
7539	Bacteria
7544	Bacteria
7546	Bacteria
7550	Bacteria
7551	Bacteria
7552	Bacteria
7554	Bacteria
7558	Bacteria
7559	Bacteria
7562	Bacteria
7565	Bacteria
7569	Bacteria
7571	Bacteria
7573	Bacteria
7580	Bacteria
7588	Bacteria
7593	Bacteria
7600	Bacteria
7611	Bacteria
7628	Bacteria
7631	Bacteria
7636	Bacteria
7639	Bacteria
7646	Bacteria
7651	Bacteria
7663	Bacteria
7667	Bacteria
7668	Bacteria
7669	Bacteria
7670	Bacteria
7671	Bacteria
7677	Bacteria
7678	Bacteria
7682	Bacteria
7687	Bacteria
7689	Bacteria
7695	Bacteria
7700	Bacteria
7728	Bacteria
7734	Bacteria
7767	Bacteria
7768	Bacteria
7770	Bacteria
7773	Bacteria
7776	Bacteria
7788	Bacteria
7790	Bacteria
7805	Bacteria
7813	Bacteria
7819	Bacteria
7821	Bacteria
7823	Bacteria
7824	Bacteria
7825	Bacteria
7834	Bacteria
7836	Bacteria
7841	Bacteria
7846	Bacteria
7850	Bacteria
7856	Bacteria
7862	Bacteria
7872	Bacteria
7873	Bacteria
7875	Bacteria
7877	Bacteria
7896	Bacteria
7910	Bacteria
7913	Bacteria
7914	Bacteria
7936	Bacteria
7941	Bacteria
7944	Bacteria
7968	Bacteria
7970	Bacteria
7971	Bacteria
7993	Bacteria
7995	Bacteria
7998	Bacteria
8007	Bacteria
8015	Bacteria
8029	Bacteria
8031	Bacteria
8041	Bacteria
8048	Bacteria
8049	Bacteria
8050	Bacteria
8056	Bacteria
8060	Bacteria
